time,x,y,z,gripper
0.0,10,160,100,0.7
1.0,-20,170,100,0.7
2.0,-50,175,100,0.7
3.0,-80,180,100,0.7
4.0,-80,180,70,0.7
5.0,-80,180,50,0.7
6.0,-80,180,50,0.5
7.0,-80,180,50,0.3
8.0,-80,180,50,0.0
9.0,-80,180,70,0.0
10.0,-80,180,150,0.0
