time,x,y,z,gripper
0.0,0,150,150,0.0
1.0,-80,180,120,0.0
2.0,-80,180,110,0.0
3.0,-80,180,100,0.0
4.0,-80,180,90,0.0
5.0,-80,180,80,0.0
6.0,-80,180,70,0.0
7.0,-80,180,60,0.0
8.0,-80,180,50,0.0
9.0,-80,180,50,0.7
10.0,-80,180,120,0.7
